1,948
3,2206
4,3316
2,4317
4,5380
1,8421
2,9520
3,10612
4,11642
3,12723
3,13756
3,14782
1,15779
2,16846
4,18254
2,19040
1,19949
3,20994
4,22060
2,23134
2,24116
2,25226
3,26169
4,27228
1,28254
3,29302
2,30318
4,31391
1,32000
3,32491
2,33001
4,33522
1,34566
3,35530
2,36640
4,37150
1,37656
3,38199
2,39284
4,39808
1,40306
3,40867
3,41358
4,41879
1,42374
2,43426
4,44507
3,44514
1,45548
2,46563
1,47641
2,48667
2,49231
3,49748
1,50320
4,51339
1,52318
3,53319
2,54353
1,55415
4,56500
3,57533
2,58017
4,58538
3,59063
2,59590
1,60108
3,61155
4,62192
1,63244
2,63725
3,64799
4,65836
4,66833
2,67863
3,68929
1,69992
3,71000
2,72070
4,73095
1,74144
3,75174
2,76203
4,77215
1,78270
3,79337
