1,892
1,1411
1,1939
1,2443
1,3475
1,4003
1,4515
1,5099
1,5587
1,6091
1,6619
1,7131
2,7636
4,8190
2,8707
4,9243
2,9739
4,10267
2,10811
4,11340
2,11843
4,12388
2,12923
4,13427
2,13915
4,14475
2,14971
4,15524
1,15771
2,16043
4,16531
1,16820
2,17051
4,17572
1,17827
2,18099
4,18619
1,18875
2,19132
4,19651
1,19924
2,20171
4,20699
1,20947
2,21204
4,21755
1,22020
2,22268
4,22771
1,23036
2,23292
4,23851
1,24123
2,24372
4,24907
1,25172
2,25428
4,25972
2,26444
4,27012
1,27243
2,27500
4,28027
2,28516
4,29076
1,29307
2,29563
4,30100
2,30612
4,31140
1,31395
2,31660
2,32164
3,32451
3,32724
4,32964
1,33100
4,33748
1,33875
3,34028
2,34140
3,34492
3,34755
1,34980
4,35116
4,35428
4,35556
4,35940
1,36060
3,36212
2,36356
3,36620
3,36867
1,37108
4,37228
4,37892
1,38035
3,38180
2,38300
4,38964
3,39100
1,39236
4,39356
4,40092
1,40212
3,40372
2,40516
3,40772
3,41028
4,41260
1,41396
4,42084
1,42228
3,42372
2,42484
3,42867
3,43108
4,43348
1,43468
4,43772
4,43908
4,44284
1,44411
3,44548
2,44692
3,44948
3,45204
4,45484
1,45596
4,46236
1,46364
3,46515
2,46652
4,47332
1,47452
4,47588
4,47732
2,48860
4,49349
4,49876
2,50452
4,50972
2,51500
4,51996
2,52517
4,53038
2,53580
4,54076
2,54605
4,55148
2,55612
4,56141
2,56692
2,57164
3,57716
1,57957
4,58196
4,58757
2,59484
3,59765
4,60020
1,60277
4,60836
4,61084
1,61324
4,62348
2,62876
3,63445
2,65485
3,65788
3,66037
4,66261
1,66396
4,67029
1,67173
3,67317
2,67445
3,67807
3,68069
1,68309
4,68437
4,68741
4,68869
4,69236
3,69381
2,69517
2,69693
3,69965
3,70181
4,70413
1,70549
4,71213
1,71364
3,71517
2,71652
4,72293
3,72437
3,72565
1,72709
4,73372
1,73517
3,73677
2,73844
3,74108
3,74357
4,74605
1,74749
4,75389
1,75532
3,75676
2,75788
3,76180
3,76429
1,76653
4,76780
4,77093
4,77221
4,77589
3,77733
2,77861
2,78028
3,78293
3,78500
4,78749
1,78892
4,79533
1,79677
3,79821
2,79940
4,80645
3,80749
4,80917
4,81061
